date,year,tourney_name,surface,indoor,commitment,draw_size,url
19761025,1976,Vienna,Hard,Indoor,"$50,000",32,https://www.atptour.com/en/scores/archive/vienna/337/1976/results
19761101,1976,London,Carpet,Indoor,"$100,000",32,https://www.atptour.com/en/scores/archive/london/2016/1976/results
19761101,1976,Tokyo Outdoor,Clay,Outdoor,"$100,000",64,https://www.atptour.com/en/scores/archive/tokyo/329/1976/results
19761101,1976,Cologne,Hard,Indoor,"$50,000",32,https://www.atptour.com/en/scores/archive/cologne/332/1976/results
19761108,1976,Stockholm,Hard,Indoor,"$150,000",64,https://www.atptour.com/en/scores/archive/stockholm/429/1976/results
19761108,1976,Hong Kong,Hard,Outdoor,"$75,000",48,https://www.atptour.com/en/scores/archive/hong-kong/336/1976/results
19761115,1976,Wembley,Carpet,Indoor,"$125,000",32,https://www.atptour.com/en/scores/archive/wembley/430/1976/results
19761115,1976,Manila,Clay,Indoor,"$75,000",64,https://www.atptour.com/en/scores/archive/manila/362/1976/results
19761115,1976,Sao Paulo,Carpet,Indoor,"$50,000",32,https://www.atptour.com/en/scores/archive/sao-paulo/240/1976/results
19761122,1976,Bangalore,Clay,Outdoor,"$50,000",32,https://www.atptour.com/en/scores/archive/bangalore/2017/1976/results
19761122,1976,Buenos Aires,Clay,Outdoor,"$50,000",32,https://www.atptour.com/en/scores/archive/buenos-aires/303/1976/results
19761123,1976,Johannesburg,Hard,Outdoor,"$150,000",64,https://www.atptour.com/en/scores/archive/johannesburg/426/1976/results
19761130,1976,Santiago,Clay,Outdoor,"$35,000",16,https://www.atptour.com/en/scores/archive/santiago/361/1976/results
19761205,1976,Masters,Carpet,Indoor,"$130,000",8,https://www.atptour.com/en/scores/archive/masters/605/1976/results
19761226,1976,Sydney Outdoor,Grass,Outdoor,"$75,000",64,https://www.atptour.com/en/scores/archive/sydney/338/1976/results
19761229,1977,Zurich,Hard,Indoor,"$25,000",32,https://www.atptour.com/en/scores/archive/zurich/810/1977/results
