date,year,tourney_name,tourney_id,surface,indoor,commitment,draw_size,url
19990809,1999,ATP Masters 1000 Cincinnati,1999_422,Hard,Outdoor,$2450000,56,https://www.atptour.com/en/scores/archive/cincinnati/422/1999/results
19990809,1999,San Marino,1999_475,Clay,Outdoor,$300000,32,https://www.atptour.com/en/scores/archive/san-marino/475/1999/results
19990816,1999,Indianapolis,1999_419,Hard,Outdoor,$870000,56,https://www.atptour.com/en/scores/archive/indianapolis/419/1999/results
19990816,1999,Washington,1999_418,Hard,Outdoor,$725000,56,https://www.atptour.com/en/scores/archive/washington/418/1999/results
19990823,1999,Boston,1999_80,Hard,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/boston/80/1999/results
19990823,1999,Long Island,1999_441,Hard,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/long-island/441/1999/results
19990830,1999,US Open,1999_560,Hard,Outdoor,$6235000,128,https://www.atptour.com/en/scores/archive/us-open/560/1999/results
19990913,1999,Mallorca,1999_7306,Clay,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/mallorca/7306/1999/results
19990913,1999,Tashkent,1999_73,Hard,Outdoor,$500000,32,https://www.atptour.com/en/scores/archive/tashkent/73/1999/results
19990913,1999,Bournemouth,1999_620,Clay,Outdoor,$400000,32,https://www.atptour.com/en/scores/archive/bournemouth/620/1999/results
19990927,1999,Grand Slam Cup,1999_604,Hard,Indoor,$4200000,12,https://www.atptour.com/en/scores/archive/munich/604/1999/results
19990927,1999,Toulouse,1999_327,Hard,Indoor,$400000,32,https://www.atptour.com/en/scores/archive/toulouse/327/1999/results
19990927,1999,Bucharest,1999_773,Clay,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/bucharest/773/1999/results
19991004,1999,Basel,1999_328,Carpet,Indoor,$1000000,32,https://www.atptour.com/en/scores/archive/basel/328/1999/results
19991004,1999,Palermo,1999_325,Clay,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/palermo/325/1999/results
19991004,1999,Shanghai,1999_890,Hard,Outdoor,$350000,32,https://www.atptour.com/en/scores/archive/shanghai/890/1999/results
19991011,1999,Vienna,1999_337,Hard,Indoor,$800000,32,https://www.atptour.com/en/scores/archive/vienna/337/1999/results
